index	family	metric	title	rank	scenario_id	score	overall	num_selected_agents	agent_type
53	type_vehicle	linear_acceleration	Linear acceleration	4	46_loc4_seg42_ego_1	0.09965043887378904	0.775664502086887	3	vehicle
54	type_vehicle	linear_acceleration	Linear acceleration	5	39_loc0_seg9_ego_1	0.10049232577658986	0.7637866485601632	8	vehicle
55	type_vehicle	angular_speed	Angular speed	1	46_loc4_seg57_ego_1	0.049535804871078386	0.6917393902280167	9	vehicle
56	type_vehicle	angular_speed	Angular speed	2	37_loc0_seg114_ego_1	0.05360129271173912	0.5632637872694606	2	vehicle
57	type_vehicle	angular_speed	Angular speed	3	46_loc4_seg73_ego_1	0.08061799058799733	0.732562484652236	6	vehicle
58	type_vehicle	angular_speed	Angular speed	4	29_loc5_seg42_ego_1	0.08438482044348888	0.7566674316523855	5	vehicle
59	type_vehicle	angular_speed	Angular speed	5	39_loc0_seg105_ego_1	0.13131169809283516	0.8246188533292979	4	vehicle
60	type_vehicle	angular_acceleration	Angular acceleration	1	25_loc5_seg77_ego_1	0.21882796765007742	0.7262003266924918	3	vehicle
61	type_vehicle	angular_acceleration	Angular acceleration	2	37_loc0_seg114_ego_1	0.3133568181057588	0.5632637872694606	2	vehicle
62	type_vehicle	angular_acceleration	Angular acceleration	3	43_loc4_seg34_ego_1	0.44377045276033633	0.668798508253881	8	vehicle
63	type_vehicle	angular_acceleration	Angular acceleration	4	46_loc4_seg57_ego_1	0.4983778056505089	0.6917393902280167	9	vehicle
64	type_vehicle	angular_acceleration	Angular acceleration	5	10_loc3_seg40_ego_1	0.5384693580367004	0.7457488294853835	6	vehicle
65	type_vehicle	collision	Rollout-level collision	1	15_loc1_seg16_ego_1	0.0	0.6883655002232	3	vehicle
66	type_vehicle	collision	Rollout-level collision	2	38_loc0_seg111_ego_1	0.0	0.7730715371598682	3	vehicle
67	type_vehicle	collision	Rollout-level collision	3	38_loc0_seg20_ego_1	0.0	0.7429335662897015	4	vehicle
68	type_vehicle	collision	Rollout-level collision	4	38_loc0_seg35_ego_1	0.0	0.7063216181336963	3	vehicle
69	type_vehicle	collision	Rollout-level collision	5	48_loc4_seg34_ego_1	0.0	0.6206874225238057	5	vehicle
70	type_vehicle	valid_region	GT-relative valid region	1	21_loc1_seg58_ego_1	0.6854508196721312	0.7122261021562303	5	vehicle
71	type_vehicle	valid_region	GT-relative valid region	2	43_loc4_seg25_ego_1	0.76015625	0.8322404229884813	3	vehicle
72	type_vehicle	valid_region	GT-relative valid region	3	13_loc1_seg46_ego_1	0.7778645833333333	0.7164372881337386	8	vehicle
73	type_vehicle	valid_region	GT-relative valid region	4	45_loc4_seg45_ego_1	0.8070938818565401	0.6405533469601283	7	vehicle
74	type_vehicle	valid_region	GT-relative valid region	5	44_loc4_seg20_ego_1	0.8331801470588236	0.7790346164326907	2	vehicle
75	type_vehicle	coverage	Diversity bonus	1	08_loc3_seg102_ego_1	0.0	0.8100326070932787	9	vehicle
76	type_vehicle	coverage	Diversity bonus	2	15_loc1_seg85_ego_1	0.0	0.8307901833977721	2	vehicle
77	type_vehicle	coverage	Diversity bonus	3	16_loc1_seg32_ego_1	0.0	0.7288839574463353	2	vehicle
78	type_vehicle	coverage	Diversity bonus	4	19_loc1_seg113_ego_1	0.0	0.6176377090791416	2	vehicle
79	type_vehicle	coverage	Diversity bonus	5	20_loc1_seg103_ego_1	0.0	0.7393344457591676	2	vehicle
80	type_two_wheeler	linear_speed	Linear speed	1	38_loc0_seg126_ego_1	0.0005346606545650687	0.6064638010110063	4	two_wheeler
81	type_two_wheeler	linear_speed	Linear speed	2	42_loc4_seg66_ego_1	0.0006890636219840387	0.6640493036387903	2	two_wheeler
